LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID1702947,1702947,61,1.3116015195846558,545.8896578487808,320.1604035961451,0.0,0.0,0,13.5,1,,11.631505898681471,5.0,2.0,43.0,16761.0,11.29095414825145,35.90492713393477,25.0,4.0,100.0,51739.0,28.282478564688233,186.1790423317141,216.0,44.0,255.0,268284.0,74.07236423798375,0.5531007696751201,0.7337361642945678,0.7125424920634985,1.056418482919812,0.6415023903261431,1.9645421017168652
ID1703003,1703003,17,1.3011813163757324,208.26595951102775,350.55947222042556,0.0,0.0,0,13.5,1,,3.19500346981263,3.0,2.0,5.0,4604.0,0.7150194368874584,43.779319916724496,30.0,7.0,135.0,63086.0,35.2427477146946,162.89868147120055,157.0,39.0,255.0,234737.0,80.52044774592848,0.07793728758389379,0.6461528647694534,0.8051867337280834,1.108163197677728,0.6778421600347851,1.6346277144986696
ID1702997,1702997,15,0.8199761509895325,618.3299915917469,344.0915852790893,0.0,0.0,0,13.5,1,,16.284524635669673,16.0,3.0,34.0,23466.0,7.852253078088118,10.612074947952811,7.0,2.0,28.0,15292.0,7.28345489486206,127.03331020124914,137.0,24.0,226.0,183055.0,48.04157922159087,0.5741143491448336,1.5127700456047835,0.4429820574115605,0.8945777127083038,0.5546598786368605,1.8867818811492214
ID1702977,1702977,30,0.5714436173439026,585.343768190932,338.9172757260203,0.0,0.0,0,13.5,1,,14.571131158917419,10.0,2.0,39.0,20997.0,11.078475096135868,3.785565579458709,4.0,2.0,6.0,5455.0,0.6845212053634226,85.01249132546843,64.0,14.0,211.0,122503.0,55.67814112750174,0.537417479120744,0.9195243841622802,-0.11802177123895233,-1.480055927521652,0.3627129101412032,0.8128055402112878
ID1703025,1703025,40,1.244378924369812,477.33005627061635,368.0227669620335,0.0,0.0,0,13.5,1,,3.005551700208189,3.0,1.0,6.0,4331.0,0.5962589309826848,36.960444136016655,25.0,5.0,95.0,53260.0,27.871465213295462,153.63150589868147,132.0,29.0,255.0,221383.0,84.1184322582035,0.002558029748091572,0.02572263009896323,0.7603900336654535,1.1456049762307239,0.6367054634808954,1.4209773569250683
ID1703073,1703073,39,1.2665315866470337,175.27973611021278,385.4860617036414,0.0,0.0,0,13.5,1,,33.17140874392783,28.0,3.0,82.0,47800.0,24.75379687543257,21.48993754337266,19.0,3.0,48.0,30967.0,12.829277067143785,177.6412213740458,226.0,29.0,255.0,255981.0,85.41664029044412,0.7901330552725186,1.1829516857697877,0.6571289314344243,1.3284868293827061,0.6667891347900765,1.6639455654506932
ID1703198,1703198,29,0.3053147494792938,479.27042235301724,446.2841989522023,0.0,0.0,0,13.5,1,,7.399722414989591,5.0,2.0,21.0,10663.0,5.211616291261034,3.7598889659958363,4.0,2.0,6.0,5418.0,0.6805438910628059,49.5412907702984,39.0,14.0,118.0,71389.0,27.235696975139827,0.4491315765046411,0.8801136582828144,0.03649647562406095,0.38907378837927326,0.31966941608286137,0.881241123915069
ID1703175,1703175,8,1.2973664999008179,294.9356445249337,435.28879115193064,0.0,0.0,0,13.5,1,,3.387231089521166,3.0,1.0,13.0,4881.0,1.3909242161357245,39.78348369188064,34.0,7.0,100.0,57328.0,24.845584882092034,173.40180430256765,182.0,44.0,255.0,249872.0,76.6385109318638,0.06747911436936281,0.3078799033897355,0.7380205739322797,1.3598691974768264,0.6347440152566305,1.7570552120437057
ID1703226,1703226,27,1.2898920774459839,258.7154776534506,459.2199728348748,0.0,0.0,0,13.5,1,,2.9403192227619708,3.0,2.0,5.0,4237.0,0.5315513544997494,44.94864677307425,43.0,7.0,97.0,64771.0,27.471073168238767,181.14365024288688,221.0,44.0,255.0,261028.0,79.61495560403957,-4.8114874179656665E-4,-0.0053255886047277575,0.7498328711403203,1.402293418908459,0.6325115156715049,1.7630743889024088
ID1703315,1703315,49,1.0264978408813477,311.75215057240797,503.84839273009504,0.0,0.0,0,13.5,1,,23.47467036780014,18.0,2.0,62.0,33827.0,18.54625084657771,25.248438584316446,21.0,4.0,64.0,36383.0,15.21514822167403,200.6613462873005,251.0,34.0,255.0,289153.0,69.21052192499829,0.6416243214994025,0.9894193714415696,0.18006677885484457,0.5064252430393225,0.3699128126589251,1.5657702592278593
ID1703318,1703318,46,1.2992335557937622,219.908156005433,505.1419701183623,0.0,0.0,0,13.5,1,,2.8001387925052046,3.0,1.0,4.0,4035.0,0.518035801691712,40.395558639833446,41.0,6.0,83.0,58210.0,22.217212602308503,180.13948646773073,211.0,39.0,255.0,259581.0,79.10677104052691,-0.18468736337725525,-2.4488533977403057,0.7545447147627219,1.563848161575378,0.6188945375018988,1.741098534309916
ID1703311,1703311,,0.0038303625769913197,272.9448289243904,503.2016040359614,0.0,0.0,0,13.5,1,,4.398334489937543,4.0,2.0,10.0,6338.0,1.8168493797214869,3.7730742539902846,4.0,2.0,6.0,5437.0,0.6273817291457072,34.856349757113115,34.0,14.0,68.0,50228.0,10.354791711507076,0.07449705684134388,0.3356859851537134,-0.036070358639876156,-0.450089214619127,0.024346332956077275,0.16001373887041576
ID1703358,1703358,62,0.9024130702018738,321.4539809844124,534.2474613543754,0.0,0.0,0,13.5,1,,4.911866759195004,3.0,1.0,18.0,7078.0,3.549237699690066,41.91117279666898,42.0,7.0,88.0,60394.0,24.256680496165092,188.46564885496184,226.0,44.0,255.0,271579.0,72.48840208774787,-0.13544063134273798,-0.43360635179313933,0.4121090825095988,1.0084918233908875,0.3052554233688506,1.2160783466418603
ID1703348,1703348,43,0.5557803511619568,298.8163766897354,525.8392083306384,0.0,0.0,0,13.5,1,,9.634281748785565,8.0,2.0,46.0,13883.0,6.549187104010734,21.46564885496183,14.0,3.0,81.0,30932.0,19.46018994744142,128.89243580846633,108.0,19.0,255.0,185734.0,80.51896053255544,0.04556895287927152,0.12822665431586283,0.0822302269166783,0.16762499207973058,0.09455931998468235,0.2765822492579689
